# Constructed from biom file
#OTU ID	R1	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R2	R20	R21	R22	R23	R24	R25	R26	R27	R28	R29	R3	R30	R31	R32	R33	R34	R35	R36	R37	R38	R39	R4	R40	R5	R6	R7	R8	R9
5990e942ca0f84e34463f80d9b3c4138	124.0	0.0	52.0	224.0	53.0	13.0	79.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	358.0	0.0	15.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	351.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	36.0	0.0	30.0	0.0	0.0
d44d90dbb99767ea6447018f2f879d83	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2d0f21ee6bf3208f9802e619a4bd99ce	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dd5fdad80d4225bda438a3be2f3941b3	286.0	20.0	166.0	1180.0	31.0	144.0	171.0	18.0	0.0	36.0	72.0	0.0	0.0	9521.0	23.0	23.0	0.0	36.0	141.0	8976.0	0.0	138.0	606.0	62.0	13.0	20.0	6268.0	245.0	0.0	52.0	1914.0	7031.0	971.0	2964.0	1122.0	12753.0	17.0	450.0	60.0	0.0
5534f1eda8585712a4afe988cf76612c	148.0	0.0	0.0	0.0	3.0	0.0	70.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	228.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fb25dfcefb56f11240c56fc2a52df3a2	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	5.0	6.0	0.0	4.0	0.0	8.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
56acf0dc96430874c446cbe771339830	705.0	177.0	4708.0	5354.0	1501.0	274.0	97.0	897.0	7354.0	5039.0	1459.0	0.0	5967.0	1217.0	453.0	2497.0	27.0	1751.0	12630.0	0.0	1941.0	257.0	18912.0	66.0	74.0	150.0	76.0	51.0	0.0	75.0	220.0	152.0	190.0	2693.0	17.0	1392.0	5026.0	2971.0	1570.0	4144.0
d3abacbc970c5b4d671f74a520cde7b5	1480.0	225.0	4540.0	2594.0	1022.0	348.0	1183.0	973.0	10037.0	5715.0	3908.0	71.0	8798.0	4024.0	1140.0	2824.0	4006.0	889.0	4862.0	1983.0	4703.0	3998.0	7176.0	6789.0	3222.0	1632.0	5504.0	5615.0	5420.0	4377.0	5756.0	117.0	241.0	3052.0	0.0	452.0	16.0	6119.0	2005.0	5855.0
e54aa2945c848e177352581ae9f8b2c1	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	9.0	0.0	0.0	0.0	4.0
04549e077fc428a74142b7c3c650a3e7	0.0	0.0	0.0	3.0	0.0	0.0	5.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
4346e8a8389c051bc1ae22396590f5c2	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d8ebe81e3cf2202c21d6c0547e86f252	180.0	0.0	66.0	0.0	59.0	59.0	0.0	0.0	44.0	59.0	187.0	138.0	101.0	115.0	247.0	45.0	67.0	558.0	132.0	0.0	80.0	148.0	174.0	203.0	55.0	249.0	0.0	74.0	59.0	74.0	94.0	127.0	155.0	178.0	162.0	0.0	0.0	0.0	22.0	0.0
45392e86e8edc96625653a8933a21197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	169.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0c588dd41134dcae8390889d8c16caba	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	12.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	16.0	0.0	0.0	0.0	0.0	0.0	16.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
a0ed7929320d97885b6c2427bf4cfc31	0.0	0.0	0.0	110.0	300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f2fdd44b88f42e114478f32c528b604d	277.0	0.0	0.0	0.0	0.0	0.0	407.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
